gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.05412,-0.002946,0.007897,0.055630954,-0.001163829,0.008286678,0.597827077,5.52E-01
0.054099999,-0.00292,0.007909,0.054308843,-0.001267312,0.008626969,0.597827077,5.56E-01
0.054097001,-0.002918,0.00791,0.054313251,-0.001126958,0.008539576,0.593445599,5.59E-01
0.054106999,-0.00294,0.007905,0.053330065,-0.001073748,0.008737363,0.593445599,5.62E-01
0.054097001,-0.002927,0.007899,0.052821485,-0.001023347,0.009037142,0.589625835,5.64E-01
0.054090001,-0.002912,0.007924,0.05265864,-0.000977233,0.009136192,0.589625835,5.66E-01
0.054092001,-0.002917,0.007926,0.052605796,-0.000870773,0.009201352,0.586136401,5.67E-01
0.054113001,-0.002954,0.007916,0.051856462,-0.001064429,0.009292467,0.586136401,5.68E-01
0.054106001,-0.00295,0.007929,0.05094151,-0.000917528,0.009333232,0.583189726,5.68E-01
0.054134,-0.003009,0.007876,0.051111905,-0.000844308,0.008367133,0.583189726,5.67E-01
0.054125998,-0.002993,0.007904,0.05058758,-0.000752289,0.0090715,0.580520749,5.64E-01
0.054099001,-0.002929,0.007952,0.051029301,-0.000505894,0.007980594,0.580520749,5.61E-01
0.054108001,-0.002923,0.00796,0.051333952,-0.000631118,0.008626132,0.571256042,5.56E-01
0.054106001,-0.0029,0.007967,0.053319443,-0.000413169,0.008774188,0.571256042,5.49E-01
0.054097001,-0.002888,0.007998,0.051137602,-0.000793354,0.008649586,0.55460453,5.42E-01
0.054035999,-0.002937,0.007982,0.051724686,-0.000451845,0.009519254,0.55460453,5.32E-01
0.053970002,-0.002913,0.008021,0.05130546,-0.000315576,0.00975636,0.534394622,5.21E-01
0.053932,-0.002925,0.008022,0.051505341,-0.000663827,0.008807116,0.534394622,5.08E-01
0.053863999,-0.002909,0.00805,0.051608385,-4.88E-05,0.00873835,0.515357494,4.94E-01
0.053835999,-0.002863,0.008082,0.052355817,-0.000747097,0.008265241,0.515357494,4.78E-01
0.053840999,-0.002886,0.008061,0.052871661,-0.000749477,0.008980214,0.497916877,4.60E-01
0.053814001,-0.002876,0.00806,0.051906417,-0.001092331,0.008160102,0.497916877,4.41E-01
0.053821001,-0.002898,0.008053,0.05271138,-0.000754036,0.009158446,0.468243331,4.21E-01
0.053799,-0.00291,0.008073,0.054386106,-0.000585189,0.008914969,0.468243331,4.00E-01
0.053757001,-0.002915,0.008069,0.053480108,-0.000446573,0.008698916,0.416421235,3.78E-01
0.053695001,-0.002872,0.00811,0.053049583,-0.00068692,0.00865315,0.416421235,3.57E-01
0.053635001,-0.002866,0.008118,0.052863894,-0.000733861,0.008897113,0.354019761,3.35E-01
0.053589001,-0.002908,0.008098,0.051023089,-0.00078447,0.008834135,0.354019761,3.13E-01
0.053559002,-0.00291,0.008117,0.051056597,-0.000192194,0.00901232,0.303779781,2.92E-01
0.053539,-0.002924,0.008101,0.051763548,-0.000508229,0.008358881,0.303779781,2.72E-01
0.053511001,-0.002919,0.008117,0.053614561,-0.000551784,0.008691289,0.265345991,2.53E-01
0.053490002,-0.002892,0.008142,0.051926372,-0.00021771,0.008534784,0.265345991,2.35E-01
0.053482998,-0.002927,0.008121,0.051331016,-0.000803501,0.009329258,0.235694498,2.18E-01
0.053449001,-0.002992,0.008092,0.051846989,-0.000893005,0.009835506,0.235694498,2.03E-01
0.053362999,-0.002964,0.008142,0.052223509,-0.00085218,0.008628533,0.213886246,1.89E-01
0.053233001,-0.002924,0.0082,0.052056611,-0.000641927,0.009402389,0.213886246,1.76E-01
0.053128,-0.002943,0.008219,0.051689662,-0.000374043,0.008450231,0.19810912,1.66E-01
0.053017002,-0.002988,0.008211,0.052248429,-0.00053307,0.007789264,0.19810912,1.56E-01
0.052898999,-0.002981,0.00822,0.050784475,-0.000873819,0.009391029,0.191601261,1.49E-01
0.052813001,-0.002962,0.00823,0.051642239,-0.001126325,0.009175336,0.191601261,1.43E-01
0.052710999,-0.002928,0.008248,0.053406362,-0.000650155,0.009199698,0.191868708,1.39E-01
0.052607998,-0.002921,0.008259,0.053979688,-0.000353678,0.008917401,0.191868708,1.36E-01
0.052496001,-0.002906,0.008296,0.053128208,-0.000789115,0.008910753,0.196348682,1.35E-01
0.052370001,-0.002865,0.008342,0.052064515,-0.001091555,0.008912603,0.196348682,1.35E-01
0.052209001,-0.00284,0.008409,0.050157578,-0.000701128,0.009115575,0.212095439,1.36E-01
0.052122001,-0.002856,0.008418,0.051376478,-0.001153595,0.009702597,0.212095439,1.39E-01
0.052037001,-0.002838,0.008458,0.051014966,-0.001518803,0.008311258,0.234545231,1.43E-01
0.051938999,-0.002785,0.008495,0.050762268,-0.00082302,0.009435494,0.234545231,1.47E-01
0.051881999,-0.002769,0.008517,0.052951464,-0.000884902,0.01007213,0.266369998,1.53E-01
0.051814001,-0.002771,0.008538,0.051799778,-0.001044656,0.009915091,0.266369998,1.58E-01
0.051697999,-0.002708,0.008598,0.050810009,-0.000999342,0.009652063,0.302202225,1.64E-01
0.051599,-0.002669,0.008638,0.051773481,-0.000591662,0.009034488,0.302202225,1.71E-01
0.051511001,-0.002679,0.008639,0.050660622,-0.000902609,0.009127032,0.338689864,1.77E-01
0.051380999,-0.002606,0.008716,0.049813946,-0.000941765,0.009133263,0.338689864,1.84E-01
0.051309999,-0.002609,0.008731,0.050352752,-0.00108396,0.009433147,0.377207071,1.90E-01
0.051226001,-0.002583,0.008778,0.05024789,-0.001330077,0.008373592,0.377207071,1.96E-01
0.051130001,-0.002553,0.008809,0.050906145,-0.000954246,0.009396689,0.415087044,2.02E-01
0.051031999,-0.002484,0.008865,0.050400241,-0.001193654,0.009949545,0.415087044,2.07E-01
0.050956,-0.002475,0.008887,0.048305383,-8.89E-05,0.010357946,0.44696492,2.12E-01
0.050795,-0.0024,0.008967,0.048327911,-0.00089798,0.010852516,0.44696492,2.16E-01
0.050687999,-0.002398,0.009014,0.048607321,-0.001039748,0.009946772,0.473790914,2.20E-01
0.050551999,-0.002392,0.009045,0.048428565,-0.001579725,0.00997323,0.473790914,2.24E-01
0.050368,-0.002372,0.009098,0.048700014,-0.000798573,0.009107705,0.49636507,2.28E-01
0.050237,-0.002353,0.009152,0.049323631,-0.00050116,0.009053447,0.49636507,2.31E-01
0.050112002,-0.002317,0.009215,0.049981688,-0.000198382,0.009400452,0.511607409,2.35E-01
0.049991999,-0.0023,0.009271,0.051085239,-0.000745926,0.009300298,0.511607409,2.39E-01
0.04989,-0.002299,0.009322,0.049510627,-0.001254661,0.0094332,0.5218063,2.43E-01
0.049821001,-0.002281,0.009384,0.049317754,-0.001239,0.008970299,0.5218063,2.47E-01
0.049692001,-0.002166,0.009484,0.049209738,-0.001469849,0.009286417,0.530691624,2.52E-01
0.049647,-0.002196,0.009497,0.048997765,-0.001289809,0.009799569,0.530691624,2.57E-01
0.049564,-0.002136,0.009574,0.049201399,-0.001220957,0.009927034,0.539172351,2.64E-01
0.049529001,-0.002156,0.009597,0.050036085,-0.000887621,0.01007031,0.539172351,2.71E-01
0.049444001,-0.002123,0.009656,0.047196363,-0.000924921,0.010136725,0.546219468,2.80E-01
0.049336001,-0.002067,0.009746,0.048397032,-0.00123865,0.01066943,0.546219468,2.90E-01
0.049245998,-0.002024,0.009832,0.049781194,-0.001562001,0.01058154,0.542791724,3.01E-01
0.049137,-0.001961,0.009892,0.048657669,-0.000768119,0.010036743,0.542791724,3.14E-01
0.049040999,-0.001927,0.00993,0.048536565,-0.000975077,0.009600111,0.53335768,3.29E-01
0.048999999,-0.001952,0.009919,0.049180572,-0.001248416,0.009923609,0.53335768,3.46E-01
0.048919,-0.001885,0.009978,0.049284083,-0.001717678,0.009891348,0.534646988,3.65E-01
0.048884001,-0.001899,0.009976,0.049063311,-0.001397164,0.009568854,0.534646988,3.85E-01
0.048893001,-0.001963,0.009945,0.048818125,-0.001348811,0.010101293,0.559919715,4.07E-01
0.048829999,-0.001937,0.009994,0.049399958,-0.001207025,0.010331828,0.559919715,4.30E-01
0.048772998,-0.001947,0.009989,0.051096472,-0.001001301,0.009426284,0.599214435,4.54E-01
0.048643,-0.001909,0.010046,0.049107079,-0.000907769,0.009637915,0.599214435,4.79E-01
0.048588,-0.001955,0.010019,0.048091222,-0.000757244,0.00948655,0.648697913,5.04E-01
0.048477001,-0.001917,0.010101,0.046969368,-0.000460655,0.010578051,0.648697913,5.30E-01
0.048404999,-0.001922,0.010099,0.046467698,-0.000481497,0.010319403,0.701828003,5.56E-01
0.04834,-0.001927,0.010102,0.046431836,-0.000867019,0.009841798,0.701828003,5.81E-01
0.048262998,-0.001911,0.010131,0.047924451,-0.001065861,0.009385472,0.754577875,6.06E-01
0.048176002,-0.001862,0.010158,0.046999312,-0.001062564,0.009433803,0.754577875,6.30E-01
0.048126999,-0.001855,0.010167,0.047238284,-0.000984267,0.009802439,0.798662007,6.53E-01
0.048126001,-0.001903,0.010127,0.046356336,-0.001392037,0.009823254,0.798662007,6.75E-01
0.048103999,-0.001907,0.010132,0.046318757,-0.001375354,0.009666948,0.835544646,6.96E-01
0.048062999,-0.001862,0.010177,0.045860605,-0.001269934,0.010022415,0.835544646,7.15E-01
0.048076998,-0.001893,0.010154,0.046684609,-0.000922449,0.010874588,0.863623142,7.34E-01
0.048080999,-0.001907,0.010148,0.045071873,-0.00122959,0.009943004,0.863623142,7.50E-01
0.048032001,-0.001857,0.010194,0.045092024,-0.001278805,0.010252359,0.885180235,7.66E-01
0.048057999,-0.001922,0.010137,0.04626898,-0.000932043,0.010220731,0.885180235,7.80E-01
0.048044,-0.001907,0.010164,0.04648558,-0.001411096,0.010663083,0.901870608,7.93E-01
0.048021,-0.001897,0.010163,0.047212615,-0.001392704,0.010402211,0.901870608,8.05E-01
0.047984999,-0.001867,0.010196,0.046819418,-0.001561396,0.00997084,0.901201427,8.16E-01
0.047991998,-0.001882,0.010183,0.047184399,-0.001667765,0.010145418,0.901201427,8.26E-01
0.048018001,-0.001926,0.010158,0.048628904,-0.001676787,0.01014148,0.890339613,8.36E-01
0.048009001,-0.001908,0.010163,0.04902593,-0.001202603,0.01047329,0.890339613,8.45E-01
0.048007999,-0.001914,0.010158,0.049037991,-0.001381324,0.01023,0.87399137,8.53E-01
0.048009001,-0.00192,0.010147,0.049566193,-0.001375455,0.009654334,0.87399137,8.61E-01
0.047970999,-0.001849,0.0102,0.049992285,-0.001294955,0.01114436,0.849942267,8.69E-01
0.048,-0.001899,0.010166,0.046884758,-0.001499875,0.010839838,0.849942267,8.76E-01
0.047991998,-0.001883,0.010185,0.047965021,-0.001529768,0.01099074,0.822501838,8.82E-01
0.047991,-0.001885,0.010173,0.047688264,-0.001286894,0.010060328,0.822501838,8.88E-01
0.047982998,-0.001882,0.010185,0.048204199,-0.00087868,0.009714154,0.79730916,8.94E-01
0.047993001,-0.001905,0.010178,0.046597925,-0.000834017,0.011397504,0.79730916,8.98E-01
0.048011001,-0.001928,0.010172,0.046570562,-0.001607766,0.010644354,0.775965571,9.02E-01
0.047982,-0.00188,0.010184,0.046240275,-0.001781063,0.010343379,0.775965571,9.04E-01
0.048002001,-0.00192,0.010172,0.047797294,-0.001698769,0.010788413,0.75790453,9.05E-01
0.047984,-0.001903,0.010174,0.047120127,-0.001227676,0.011260895,0.75790453,9.05E-01
0.047993999,-0.001928,0.010158,0.047927869,-0.001325279,0.010807485,0.733061671,9.03E-01
0.048014998,-0.001964,0.010139,0.045893579,-0.001429592,0.010141328,0.733061671,8.99E-01
0.047986001,-0.001909,0.010177,0.047457503,-0.001339535,0.010279388,0.703970969,8.94E-01
0.047984,-0.001902,0.01018,0.04744848,-0.000960259,0.010780484,0.703970969,8.86E-01
0.047974002,-0.001892,0.010192,0.048040619,-0.000941901,0.011089516,0.675198019,8.76E-01
0.048039,-0.002008,0.010102,0.04670169,-0.000980481,0.010994706,0.675198019,8.64E-01
0.048021,-0.001982,0.010116,0.047173075,-0.000906375,0.010593158,0.649128795,8.50E-01
0.048012,-0.001965,0.010134,0.047023729,-0.001015431,0.010417393,0.649128795,8.33E-01
0.048016999,-0.00196,0.01013,0.047537071,-0.000554871,0.011700541,0.625892341,8.13E-01
0.048044,-0.001968,0.010123,0.048323698,-0.001495181,0.010724051,0.625892341,7.91E-01
0.048044,-0.001971,0.01012,0.048806854,-0.001161154,0.01033841,0.579971313,7.68E-01
0.048016999,-0.001928,0.01015,0.048443241,-0.001037446,0.010495503,0.579971313,7.42E-01
0.048036002,-0.001962,0.010129,0.04819233,-0.001585316,0.009825892,0.515239179,7.14E-01
0.048016999,-0.00193,0.010154,0.046868561,-0.001527057,0.009966958,0.515239179,6.86E-01
0.048016001,-0.001928,0.010153,0.048611059,-0.002258024,0.010979877,0.442468673,6.56E-01
0.048012,-0.001925,0.010161,0.048789145,-0.001216724,0.010058501,0.442468673,6.26E-01
0.047984999,-0.001915,0.010177,0.047873057,-0.001279813,0.009740448,0.365618885,5.96E-01
0.047935002,-0.001944,0.010172,0.046750501,-0.001037628,0.010723144,0.365618885,5.66E-01
0.047820002,-0.001938,0.010194,0.045716312,-0.000934518,0.011127076,0.290022969,5.36E-01
0.047711,-0.001964,0.010162,0.048959989,-0.001258474,0.011352641,0.290022969,5.08E-01
0.047532,-0.00189,0.01018,0.048818109,-0.000763679,0.010868349,0.218762442,4.80E-01
0.047341999,-0.001851,0.010168,0.048245782,-0.000327272,0.011043573,0.218762442,4.54E-01
0.047219999,-0.001896,0.010119,0.04630741,-0.001248998,0.010750414,0.150263906,4.29E-01
0.047063001,-0.001896,0.010155,0.046148847,-0.000898711,0.010658062,0.150263906,4.05E-01
0.046967998,-0.001943,0.010154,0.046532674,-0.001074655,0.011286312,0.086651288,3.84E-01
0.046817001,-0.001842,0.010263,0.046009272,-0.000834794,0.011338531,0.086651288,3.63E-01
0.046778999,-0.001864,0.010253,0.046417488,-0.000651388,0.011220734,0.048943676,3.44E-01
0.046760999,-0.001883,0.01024,0.044490747,-0.00121469,0.010875527,0.048943676,3.27E-01
0.046760999,-0.001908,0.010226,0.046721171,-0.001288924,0.010732555,0.035287756,3.11E-01
