gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_0,state_11,state_1
0.05412,-0.002946,0.007897,0.053945574,-0.002944429,0.007971374,0.597827077,0.770208156,0.597827077
0.054099999,-0.00292,0.007909,0.053696534,-0.002860874,0.007968627,0.597827077,0.773666642,0.597827077
0.054097001,-0.002918,0.00791,0.053639543,-0.0028469,0.007949764,0.593445599,0.78196803,0.593445599
0.054106999,-0.00294,0.007905,0.053691751,-0.002883477,0.007972316,0.593445599,0.781099202,0.593445599
0.054097001,-0.002927,0.007899,0.05374967,-0.002830512,0.008023882,0.589625835,0.763427641,0.589625835
0.054090001,-0.002912,0.007924,0.053664202,-0.002849318,0.00798847,0.589625835,0.744620128,0.589625835
0.054092001,-0.002917,0.007926,0.053633865,-0.002811896,0.008026547,0.586136401,0.666448116,0.586136401
0.054113001,-0.002954,0.007916,0.053647759,-0.002784979,0.008042304,0.586136401,0.633963521,0.586136401
0.054106001,-0.00295,0.007929,0.053573302,-0.002787639,0.008082081,0.583189726,0.599378308,0.583189726
0.054134,-0.003009,0.007876,0.053630252,-0.002751519,0.00810649,0.583189726,0.593225198,0.583189726
0.054125998,-0.002993,0.007904,0.053586051,-0.002758597,0.008135111,0.580520749,0.599960672,0.580520749
0.054099001,-0.002929,0.007952,0.053564611,-0.002735128,0.008162025,0.580520749,0.607734523,0.580520749
0.054108001,-0.002923,0.00796,0.053541983,-0.002739342,0.00816124,0.571256042,0.612357866,0.571256042
0.054106001,-0.0029,0.007967,0.053478077,-0.002718343,0.008173294,0.571256042,0.538395943,0.571256042
0.054097001,-0.002888,0.007998,0.053488301,-0.002705061,0.00820121,0.55460453,0.459864585,0.55460453
0.054035999,-0.002937,0.007982,0.053454769,-0.002731826,0.008227236,0.55460453,0.302290817,0.55460453
0.053970002,-0.002913,0.008021,0.053387516,-0.0026374,0.00820665,0.534394622,0.232828848,0.534394622
0.053932,-0.002925,0.008022,0.053384496,-0.002639026,0.008277744,0.534394622,0.150974827,0.534394622
0.053863999,-0.002909,0.00805,0.053486643,-0.002608927,0.008238777,0.515357494,0.134888186,0.515357494
0.053835999,-0.002863,0.008082,0.053539131,-0.002565948,0.008288632,0.515357494,0.169026888,0.515357494
0.053840999,-0.002886,0.008061,0.053437629,-0.002560537,0.008268169,0.497916877,0.211714473,0.497916877
0.053814001,-0.002876,0.00806,0.053358461,-0.002583825,0.008279143,0.497916877,0.286215072,0.497916877
0.053821001,-0.002898,0.008053,0.053405513,-0.002558631,0.008297233,0.468243331,0.307288027,0.468243331
0.053799,-0.00291,0.008073,0.053563745,-0.002586364,0.008261777,0.468243331,0.32492816,0.468243331
0.053757001,-0.002915,0.008069,0.053509348,-0.002616824,0.008297026,0.416421235,0.33248752,0.416421235
0.053695001,-0.002872,0.00811,0.053577894,-0.002661461,0.008196418,0.416421235,0.367784578,0.416421235
0.053635001,-0.002866,0.008118,0.053471851,-0.002653991,0.008249339,0.354019761,0.388631221,0.354019761
0.053589001,-0.002908,0.008098,0.053536459,-0.002643395,0.008238887,0.354019761,0.419901044,0.354019761
0.053559002,-0.00291,0.008117,0.053528926,-0.002628436,0.008253459,0.303779781,0.430130794,0.303779781
0.053539,-0.002924,0.008101,0.05351934,-0.002647477,0.008232528,0.303779781,0.447316851,0.303779781
0.053511001,-0.002919,0.008117,0.053451671,-0.002611519,0.008300291,0.265345991,0.455027093,0.265345991
0.053490002,-0.002892,0.008142,0.053499696,-0.002600991,0.008285867,0.265345991,0.440861923,0.265345991
0.053482998,-0.002927,0.008121,0.053403875,-0.002640534,0.00832531,0.235694498,0.438747838,0.235694498
0.053449001,-0.002992,0.008092,0.053568974,-0.00267295,0.008282559,0.235694498,0.522152951,0.235694498
0.053362999,-0.002964,0.008142,0.053460497,-0.002686025,0.008308304,0.213886246,0.624373129,0.213886246
0.053233001,-0.002924,0.0082,0.053557782,-0.002683835,0.008347783,0.213886246,0.840442878,0.213886246
0.053128,-0.002943,0.008219,0.053404412,-0.002691444,0.008385953,0.19810912,0.980694859,0.19810912
0.053017002,-0.002988,0.008211,0.053333292,-0.002634975,0.008424977,0.19810912,1.005801989,0.19810912
0.052898999,-0.002981,0.00822,0.053247476,-0.002659513,0.008445766,0.191601261,1.007411457,0.191601261
0.052813001,-0.002962,0.00823,0.053304361,-0.002653048,0.008429246,0.191601261,0.98488073,0.191601261
0.052710999,-0.002928,0.008248,0.053237024,-0.002596102,0.008410312,0.191868708,0.903722353,0.191868708
0.052607998,-0.002921,0.008259,0.053162828,-0.002601609,0.008463146,0.191868708,0.857781458,0.191868708
0.052496001,-0.002906,0.008296,0.053250618,-0.002659484,0.008463222,0.196348682,0.769352048,0.196348682
0.052370001,-0.002865,0.008342,0.053169809,-0.002589351,0.008541836,0.196348682,0.737216716,0.196348682
0.052209001,-0.00284,0.008409,0.053072108,-0.00268546,0.008471983,0.212095439,0.694603791,0.212095439
0.052122001,-0.002856,0.008418,0.053155167,-0.002656363,0.008470038,0.212095439,0.672945084,0.212095439
0.052037001,-0.002838,0.008458,0.053134513,-0.002666492,0.008461868,0.234545231,0.616857643,0.234545231
0.051938999,-0.002785,0.008495,0.053018449,-0.002673457,0.008470536,0.234545231,0.588114328,0.234545231
0.051881999,-0.002769,0.008517,0.053078797,-0.002695624,0.008496788,0.266369998,0.509627884,0.266369998
0.051814001,-0.002771,0.008538,0.053027399,-0.002652897,0.008551469,0.266369998,0.43142057,0.266369998
0.051697999,-0.002708,0.008598,0.052978802,-0.002632812,0.008558832,0.302202225,0.250011589,0.302202225
0.051599,-0.002669,0.008638,0.052842782,-0.002609943,0.008607823,0.302202225,0.183707111,0.302202225
0.051511001,-0.002679,0.008639,0.052828309,-0.002596561,0.008675529,0.338689864,0.096774194,0.338689864
0.051380999,-0.002606,0.008716,0.05282064,-0.002601135,0.008653039,0.338689864,0.075470367,0.338689864
0.051309999,-0.002609,0.008731,0.052711205,-0.002570923,0.008719897,0.377207071,0.071217633,0.377207071
0.051226001,-0.002583,0.008778,0.052658435,-0.002590509,0.008687632,0.377207071,0.083143347,0.377207071
0.051130001,-0.002553,0.008809,0.052721481,-0.00261351,0.008690684,0.415087044,0.108427606,0.415087044
0.051031999,-0.002484,0.008865,0.052661645,-0.002644773,0.008670051,0.415087044,0.13791716,0.415087044
0.050956,-0.002475,0.008887,0.052426865,-0.002631793,0.008691902,0.44696492,0.165337375,0.44696492
0.050795,-0.0024,0.008967,0.052422214,-0.002658766,0.008697413,0.44696492,0.227564968,0.44696492
0.050687999,-0.002398,0.009014,0.052222608,-0.002639113,0.00870645,0.473790914,0.255523904,0.473790914
0.050551999,-0.002392,0.009045,0.052098386,-0.002663188,0.008692387,0.473790914,0.307309323,0.473790914
0.050368,-0.002372,0.009098,0.051959899,-0.002636606,0.008764661,0.49636507,0.329699853,0.49636507
0.050237,-0.002353,0.009152,0.05181198,-0.00264075,0.008737762,0.49636507,0.36795477,0.49636507
0.050112002,-0.002317,0.009215,0.051722194,-0.002641501,0.008781631,0.511607409,0.382476113,0.511607409
0.049991999,-0.0023,0.009271,0.051658782,-0.002644858,0.008797607,0.511607409,0.406126865,0.511607409
0.04989,-0.002299,0.009322,0.051638136,-0.002576658,0.008858996,0.5218063,0.418560031,0.5218063
0.049821001,-0.002281,0.009384,0.051560405,-0.002526436,0.008902959,0.5218063,0.509098378,0.5218063
0.049692001,-0.002166,0.009484,0.051444543,-0.002505756,0.008963211,0.530691624,0.573856226,0.530691624
0.049647,-0.002196,0.009497,0.051424072,-0.002389709,0.008980646,0.530691624,0.692960429,0.530691624
0.049564,-0.002136,0.009574,0.051322376,-0.002372292,0.009021231,0.539172351,0.744733605,0.539172351
0.049529001,-0.002156,0.009597,0.05124332,-0.002362973,0.009010847,0.539172351,0.820777921,0.539172351
0.049444001,-0.002123,0.009656,0.051165625,-0.00234696,0.009121858,0.546219468,0.838748331,0.546219468
0.049336001,-0.002067,0.009746,0.051113911,-0.002232353,0.009181123,0.546219468,0.837573411,0.546219468
0.049245998,-0.002024,0.009832,0.05079564,-0.002254551,0.009257218,0.542791724,0.821005526,0.542791724
0.049137,-0.001961,0.009892,0.050666242,-0.002250738,0.009324792,0.542791724,0.781813543,0.542791724
0.049040999,-0.001927,0.00993,0.050644352,-0.002241145,0.009335108,0.53335768,0.766380128,0.53335768
0.048999999,-0.001952,0.009919,0.050513066,-0.002226486,0.009405886,0.53335768,0.743140609,0.53335768
0.048919,-0.001885,0.009978,0.050426913,-0.002223853,0.009448454,0.534646988,0.731726007,0.534646988
0.048884001,-0.001899,0.009976,0.050190649,-0.002153261,0.009535672,0.534646988,0.702743917,0.534646988
0.048893001,-0.001963,0.009945,0.050037763,-0.002138835,0.009599414,0.559919715,0.653053422,0.559919715
0.048829999,-0.001937,0.009994,0.049922598,-0.002146443,0.009651704,0.559919715,0.621615303,0.559919715
0.048772998,-0.001947,0.009989,0.049841066,-0.002138291,0.009704178,0.599214435,0.543255237,0.599214435
0.048643,-0.001909,0.010046,0.049779277,-0.00212901,0.009727208,0.599214435,0.494314618,0.599214435
0.048588,-0.001955,0.010019,0.049675247,-0.002136265,0.009756334,0.648697913,0.361296324,0.648697913
0.048477001,-0.001917,0.010101,0.049454742,-0.002112145,0.009848077,0.648697913,0.291930389,0.648697913
0.048404999,-0.001922,0.010099,0.049248586,-0.002118964,0.009854988,0.701828003,0.161756474,0.701828003
0.04834,-0.001927,0.010102,0.049136563,-0.00207467,0.009924383,0.701828003,0.116086077,0.701828003
0.048262998,-0.001911,0.010131,0.049015474,-0.002012023,0.009992826,0.754577875,0.072463828,0.754577875
0.048176002,-0.001862,0.010158,0.048919453,-0.002000367,0.010011125,0.754577875,0.071787727,0.754577875
0.048126999,-0.001855,0.010167,0.04892527,-0.001959792,0.010093308,0.798662007,0.082320902,0.798662007
0.048126001,-0.001903,0.010127,0.048696165,-0.001922788,0.010154271,0.798662007,0.099860629,0.798662007
0.048103999,-0.001907,0.010132,0.04865684,-0.001911771,0.010209797,0.835544646,0.149217065,0.835544646
0.048062999,-0.001862,0.010177,0.048579281,-0.001856781,0.010262993,0.835544646,0.176789968,0.835544646
0.048076998,-0.001893,0.010154,0.048501239,-0.001843236,0.010290988,0.863623142,0.238415097,0.863623142
0.048080999,-0.001907,0.010148,0.048407612,-0.001783403,0.0103472,0.863623142,0.267478322,0.863623142
0.048032001,-0.001857,0.010194,0.048284139,-0.001772977,0.010342076,0.885180235,0.316025888,0.885180235
0.048057999,-0.001922,0.010137,0.048283756,-0.001695096,0.010400815,0.885180235,0.3358148,0.885180235
0.048044,-0.001907,0.010164,0.048227177,-0.00167251,0.010419601,0.901870608,0.365074853,0.901870608
0.048021,-0.001897,0.010163,0.048182098,-0.001644569,0.010430415,0.901870608,0.371204986,0.901870608
0.047984999,-0.001867,0.010196,0.048156763,-0.001662211,0.010438016,0.901201427,0.380172072,0.901201427
0.047991998,-0.001882,0.010183,0.048151675,-0.001675958,0.010425607,0.901201427,0.38724968,0.901201427
0.048018001,-0.001926,0.010158,0.047924721,-0.001679893,0.010429602,0.890339613,0.419037009,0.890339613
0.048009001,-0.001908,0.010163,0.047803293,-0.001675254,0.010474899,0.890339613,0.447099676,0.890339613
0.048007999,-0.001914,0.010158,0.047808701,-0.001683203,0.010458013,0.87399137,0.459648693,0.87399137
0.048009001,-0.00192,0.010147,0.047733593,-0.001639609,0.010487156,0.87399137,0.480914985,0.87399137
0.047970999,-0.001849,0.0102,0.047795219,-0.001642647,0.010471538,0.849942267,0.488589265,0.849942267
0.048,-0.001899,0.010166,0.04765025,-0.001588564,0.010525719,0.849942267,0.489675195,0.849942267
0.047991998,-0.001883,0.010185,0.047583924,-0.001570009,0.010507215,0.822501838,0.487874637,0.822501838
0.047991,-0.001885,0.010173,0.047616053,-0.001616848,0.010509448,0.822501838,0.491007357,0.822501838
0.047982998,-0.001882,0.010185,0.047587993,-0.001688006,0.010466361,0.79730916,0.502202054,0.79730916
0.047993001,-0.001905,0.010178,0.047627342,-0.001701709,0.010496912,0.79730916,0.532061002,0.79730916
0.048011001,-0.001928,0.010172,0.047691466,-0.001669244,0.010509837,0.775965571,0.543922884,0.775965571
0.047982,-0.00188,0.010184,0.047558393,-0.001674207,0.010498579,0.775965571,0.555645393,0.775965571
0.048002001,-0.00192,0.010172,0.047692138,-0.001686339,0.010508345,0.75790453,0.557540973,0.75790453
0.047984,-0.001903,0.010174,0.047730389,-0.001662939,0.01050313,0.75790453,0.539333692,0.75790453
0.047993999,-0.001928,0.010158,0.047696207,-0.001718003,0.010482495,0.733061671,0.556263529,0.733061671
0.048014998,-0.001964,0.010139,0.04768739,-0.001677478,0.010513294,0.733061671,0.646580281,0.733061671
0.047986001,-0.001909,0.010177,0.047629585,-0.001670793,0.010502196,0.703970969,0.71149088,0.703970969
0.047984,-0.001902,0.01018,0.047492174,-0.001707176,0.010497598,0.703970969,0.834171743,0.703970969
0.047974002,-0.001892,0.010192,0.047540783,-0.001691022,0.010567138,0.675198019,0.87443043,0.675198019
0.048039,-0.002008,0.010102,0.047494307,-0.001677557,0.010530742,0.675198019,0.911265349,0.675198019
0.048021,-0.001982,0.010116,0.047613985,-0.00174492,0.010505057,0.649128795,0.906697601,0.649128795
0.048012,-0.001965,0.010134,0.04741585,-0.001701106,0.010519627,0.649128795,0.871601207,0.649128795
0.048016999,-0.00196,0.01013,0.047348125,-0.001704558,0.010534637,0.625892341,0.84021685,0.625892341
0.048044,-0.001968,0.010123,0.047413552,-0.001746147,0.010473818,0.625892341,0.756805875,0.625892341
0.048044,-0.001971,0.01012,0.047502714,-0.001705743,0.010453804,0.579971313,0.673897438,0.579971313
0.048016999,-0.001928,0.01015,0.047434182,-0.001716564,0.010519163,0.579971313,0.643606989,0.579971313
0.048036002,-0.001962,0.010129,0.047435218,-0.001740996,0.010494409,0.515239179,0.598648535,0.515239179
0.048016999,-0.00193,0.010154,0.047385021,-0.001719624,0.010535519,0.515239179,0.572842322,0.515239179
