gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,phase,motion
0.05412,-0.002946,0.007897,0.054042146,-0.002839855,0.007796632,0.597827077,5.52E-01
0.054099999,-0.00292,0.007909,0.053969665,-0.002824167,0.007857043,0.597827077,5.56E-01
0.054097001,-0.002918,0.00791,0.053741837,-0.002757304,0.007871722,0.593445599,5.59E-01
0.054106999,-0.00294,0.007905,0.053759171,-0.002798919,0.007858013,0.593445599,5.62E-01
0.054097001,-0.002927,0.007899,0.053712372,-0.002761905,0.007935548,0.589625835,5.64E-01
0.054090001,-0.002912,0.007924,0.053764128,-0.002711706,0.007917386,0.589625835,5.66E-01
0.054092001,-0.002917,0.007926,0.053706084,-0.00270718,0.008024847,0.586136401,5.67E-01
0.054113001,-0.002954,0.007916,0.053651836,-0.002719802,0.007991096,0.586136401,5.68E-01
0.054106001,-0.00295,0.007929,0.053664359,-0.002735175,0.007989725,0.583189726,5.68E-01
0.054134,-0.003009,0.007876,0.05359892,-0.002711618,0.008182829,0.583189726,5.67E-01
0.054125998,-0.002993,0.007904,0.053667407,-0.002707436,0.008095583,0.580520749,5.64E-01
0.054099001,-0.002929,0.007952,0.053905507,-0.002700836,0.008097781,0.580520749,5.61E-01
0.054108001,-0.002923,0.00796,0.05371752,-0.002783287,0.008050612,0.571256042,5.56E-01
0.054106001,-0.0029,0.007967,0.053691329,-0.002693385,0.008062475,0.571256042,5.49E-01
0.054097001,-0.002888,0.007998,0.05366544,-0.002715411,0.008150482,0.55460453,5.42E-01
0.054035999,-0.002937,0.007982,0.053564775,-0.002752972,0.008104286,0.55460453,5.32E-01
0.053970002,-0.002913,0.008021,0.053674229,-0.002679503,0.008022948,0.534394622,5.21E-01
0.053932,-0.002925,0.008022,0.053872728,-0.002766421,0.007992198,0.534394622,5.08E-01
0.053863999,-0.002909,0.00805,0.05387889,-0.002763363,0.008043672,0.515357494,4.94E-01
0.053835999,-0.002863,0.008082,0.053818684,-0.002705191,0.0081202,0.515357494,4.78E-01
0.053840999,-0.002886,0.008061,0.053722822,-0.00274652,0.008162049,0.497916877,4.60E-01
0.053814001,-0.002876,0.00806,0.05354312,-0.002711908,0.008129462,0.497916877,4.41E-01
0.053821001,-0.002898,0.008053,0.053382864,-0.002677886,0.008234939,0.468243331,4.21E-01
0.053799,-0.00291,0.008073,0.053400241,-0.002722702,0.008201414,0.468243331,4.00E-01
0.053757001,-0.002915,0.008069,0.053363934,-0.002722821,0.008173596,0.416421235,3.78E-01
0.053695001,-0.002872,0.00811,0.053753941,-0.002780194,0.008172873,0.416421235,3.57E-01
0.053635001,-0.002866,0.008118,0.053480614,-0.00274733,0.008174277,0.354019761,3.35E-01
0.053589001,-0.002908,0.008098,0.053482808,-0.002690782,0.008194551,0.354019761,3.13E-01
0.053559002,-0.00291,0.008117,0.053557246,-0.002672447,0.008165066,0.303779781,2.92E-01
0.053539,-0.002924,0.008101,0.05382295,-0.002730031,0.008105594,0.303779781,2.72E-01
0.053511001,-0.002919,0.008117,0.05353042,-0.00265134,0.008207779,0.265345991,2.53E-01
0.053490002,-0.002892,0.008142,0.053651691,-0.002782624,0.008241335,0.265345991,2.35E-01
0.053482998,-0.002927,0.008121,0.053567713,-0.002725178,0.008176576,0.235694498,2.18E-01
0.053449001,-0.002992,0.008092,0.053536408,-0.002725451,0.008234328,0.235694498,2.03E-01
0.053362999,-0.002964,0.008142,0.053552051,-0.002736901,0.008204998,0.213886246,1.89E-01
0.053233001,-0.002924,0.0082,0.053629878,-0.002820699,0.008203822,0.213886246,1.76E-01
0.053128,-0.002943,0.008219,0.053550773,-0.002762452,0.008268472,0.19810912,1.66E-01
0.053017002,-0.002988,0.008211,0.053176456,-0.002690449,0.008283658,0.19810912,1.56E-01
0.052898999,-0.002981,0.00822,0.053448626,-0.002695237,0.008257689,0.191601261,1.49E-01
0.052813001,-0.002962,0.00823,0.053422242,-0.002774838,0.008198435,0.191601261,1.43E-01
0.052710999,-0.002928,0.008248,0.053049187,-0.002771315,0.008343916,0.191868708,1.39E-01
0.052607998,-0.002921,0.008259,0.053264495,-0.002675075,0.008342083,0.191868708,1.36E-01
0.052496001,-0.002906,0.008296,0.053091415,-0.002708086,0.008342786,0.196348682,1.35E-01
0.052370001,-0.002865,0.008342,0.053289571,-0.002669444,0.008386997,0.196348682,1.35E-01
0.052209001,-0.00284,0.008409,0.053103746,-0.002679209,0.008427435,0.212095439,1.36E-01
0.052122001,-0.002856,0.008418,0.052908278,-0.002663569,0.00844569,0.212095439,1.39E-01
0.052037001,-0.002838,0.008458,0.053113377,-0.00264089,0.008606264,0.234545231,1.43E-01
0.051938999,-0.002785,0.008495,0.053122396,-0.002589682,0.008649427,0.234545231,1.47E-01
0.051881999,-0.002769,0.008517,0.052998512,-0.002643394,0.008572361,0.266369998,1.53E-01
0.051814001,-0.002771,0.008538,0.05294146,-0.002661133,0.008539528,0.266369998,1.58E-01
0.051697999,-0.002708,0.008598,0.052891742,-0.002750598,0.008522003,0.302202225,1.64E-01
0.051599,-0.002669,0.008638,0.05282188,-0.00273284,0.008370248,0.302202225,1.71E-01
0.051511001,-0.002679,0.008639,0.052495254,-0.002686312,0.00852948,0.338689864,1.77E-01
0.051380999,-0.002606,0.008716,0.05254715,-0.002705463,0.008448411,0.338689864,1.84E-01
0.051309999,-0.002609,0.008731,0.052258761,-0.002725514,0.008440775,0.377207071,1.90E-01
0.051226001,-0.002583,0.008778,0.052210743,-0.002779745,0.008467048,0.377207071,1.96E-01
0.051130001,-0.002553,0.008809,0.052413325,-0.00290385,0.008417663,0.415087044,2.02E-01
0.051031999,-0.002484,0.008865,0.052273813,-0.002855003,0.008489378,0.415087044,2.07E-01
0.050956,-0.002475,0.008887,0.051888715,-0.002791983,0.008601656,0.44696492,2.12E-01
0.050795,-0.0024,0.008967,0.051693038,-0.002756463,0.008630572,0.44696492,2.16E-01
0.050687999,-0.002398,0.009014,0.051647158,-0.00272157,0.008699829,0.473790914,2.20E-01
0.050551999,-0.002392,0.009045,0.051560923,-0.002592316,0.0087676,0.473790914,2.24E-01
