frame,t,filtered_signal_norm_offline,displacement_norm_offline
0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.000000000000000000e+00,1.666666666666666644e-02,5.624787666690779231e-01,5.523583060838243020e-01
2.000000000000000000e+00,5.000000000000000278e-02,5.591067385076685659e-01,5.557565272788582700e-01
3.000000000000000000e+00,8.333333333333332871e-02,5.549440422227606140e-01,5.588915152421201071e-01
4.000000000000000000e+00,1.166666666666666685e-01,5.498398424833560449e-01,5.617037328418833519e-01
5.000000000000000000e+00,1.499999999999999944e-01,5.435648221833050409e-01,5.641191417964885879e-01
6.000000000000000000e+00,1.833333333333333204e-01,5.358426614780430475e-01,5.660462303982303212e-01
7.000000000000000000e+00,2.166666666666666741e-01,5.264044022229035225e-01,5.673764790395258162e-01
8.000000000000000000e+00,2.500000000000000000e-01,5.150333440257842677e-01,5.679876647963275627e-01
9.000000000000000000e+00,2.833333333333333259e-01,5.016010391926646328e-01,5.677494421962934190e-01
1.000000000000000000e+01,3.166666666666666519e-01,4.860917766003081675e-01,5.665304722548328842e-01
1.100000000000000000e+01,3.499999999999999778e-01,4.685879965867680852e-01,5.642046292037730115e-01
1.200000000000000000e+01,3.833333333333333592e-01,4.492252503310313339e-01,5.606543590208656891e-01
1.300000000000000000e+01,4.166666666666666852e-01,4.281620214605618147e-01,5.557721295914401782e-01
1.400000000000000000e+01,4.500000000000000111e-01,4.055693283380449321e-01,5.494612233578387572e-01
1.500000000000000000e+01,4.833333333333333370e-01,3.816243089574757330e-01,5.416361243018479321e-01
1.600000000000000000e+01,5.166666666666667185e-01,3.565181256917311914e-01,5.322234047935876511e-01
1.700000000000000000e+01,5.500000000000000444e-01,3.304871298409050584e-01,5.211645831690370212e-01
1.800000000000000000e+01,5.833333333333333703e-01,3.038626842887665602e-01,5.084221319046684506e-01
1.900000000000000000e+01,6.166666666666666963e-01,2.771338148953862435e-01,4.939894476301364690e-01
2.000000000000000000e+01,6.500000000000000222e-01,2.510107023234621204e-01,4.779048361248846577e-01
2.100000000000000000e+01,6.833333333333333481e-01,2.264546882278989648e-01,4.602673947931444354e-01
2.200000000000000000e+01,7.166666666666666741e-01,2.045964035780304391e-01,4.412477178824497637e-01
2.300000000000000000e+01,7.500000000000000000e-01,1.864985794111088113e-01,4.210836027477187216e-01
2.400000000000000000e+01,7.833333333333333259e-01,1.728947051561581516e-01,4.000592298522339108e-01
2.500000000000000000e+01,8.166666666666666519e-01,1.640984038732089256e-01,3.784786120001454868e-01
2.600000000000000000e+01,8.499999999999999778e-01,1.600970325458769272e-01,3.566449624988751177e-01
2.700000000000000000e+01,8.833333333333333037e-01,1.606869791978728923e-01,3.348486190014900998e-01
2.800000000000000000e+01,9.166666666666666297e-01,1.655579882346445431e-01,3.133602997660214218e-01
2.900000000000000000e+01,9.499999999999999556e-01,1.743373983309455533e-01,2.924271573521433631e-01
3.000000000000000000e+01,9.833333333333332815e-01,1.866079607406726515e-01,2.722699590806436643e-01
3.100000000000000000e+01,1.016666666666666607e+00,2.019139244110411402e-01,2.530806522925909685e-01
3.200000000000000000e+01,1.050000000000000044e+00,2.197921344552864753e-01,2.350218961587645650e-01
3.300000000000000000e+01,1.083333333333333259e+00,2.398133207893569374e-01,2.182292044269310560e-01
3.400000000000000000e+01,1.116666666666666696e+00,2.615973291692710867e-01,2.028140513225459296e-01
3.500000000000000000e+01,1.149999999999999911e+00,2.848045315172426095e-01,1.888664342708379629e-01
3.600000000000000000e+01,1.183333333333333348e+00,3.091177365014233791e-01,1.764562927121003100e-01
3.700000000000000000e+01,1.216666666666666563e+00,3.342302282827847026e-01,1.656341705323950697e-01
3.800000000000000000e+01,1.250000000000000000e+00,3.598485535800725055e-01,1.564320547377447967e-01
3.900000000000000000e+01,1.283333333333333437e+00,3.856982469593438489e-01,1.488645761740679252e-01
4.000000000000000000e+01,1.316666666666666652e+00,4.115163182208055326e-01,1.429297351777577829e-01
4.100000000000000000e+01,1.350000000000000089e+00,4.370275223949250387e-01,1.386081266302092996e-01
4.200000000000000000e+01,1.383333333333333304e+00,4.619160778711313142e-01,1.358603765733451540e-01
4.300000000000000000e+01,1.416666666666666741e+00,4.858155070624995964e-01,1.346239363870480876e-01
4.400000000000000000e+01,1.449999999999999956e+00,5.083311810252720830e-01,1.348113026034032380e-01
4.500000000000000000e+01,1.483333333333333393e+00,5.290768388461498661e-01,1.363105460694218340e-01
4.600000000000000000e+01,1.516666666666666607e+00,5.477030783076747289e-01,1.389876427521153091e-01
4.700000000000000000e+01,1.550000000000000044e+00,5.639298281431305293e-01,1.426908579666439358e-01
4.800000000000000000e+01,1.583333333333333259e+00,5.775817186591235552e-01,1.472573673093926783e-01
4.900000000000000000e+01,1.616666666666666696e+00,5.885934984866573183e-01,1.525202201259793777e-01
5.000000000000000000e+01,1.649999999999999911e+00,5.969845750269368034e-01,1.583136930129645792e-01
