gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_00,state_0
0.05412,-0.002946,0.007897,0.053945574,-0.002944429,0.007971374,0.597827077,4.75E-01
0.054099999,-0.00292,0.007909,0.053696534,-0.002860874,0.007968627,0.597827077,4.75E-01
0.054097001,-0.002918,0.00791,0.053639543,-0.0028469,0.007949764,0.593445599,4.88E-01
0.054106999,-0.00294,0.007905,0.053691751,-0.002883477,0.007972316,0.593445599,5.02E-01
0.054097001,-0.002927,0.007899,0.05374967,-0.002830512,0.008023882,0.589625835,5.14E-01
0.054090001,-0.002912,0.007924,0.053664202,-0.002849318,0.00798847,0.589625835,5.26E-01
0.054092001,-0.002917,0.007926,0.053633865,-0.002811896,0.008026547,0.586136401,5.37E-01
0.054113001,-0.002954,0.007916,0.053647759,-0.002784979,0.008042304,0.586136401,5.46E-01
0.054106001,-0.00295,0.007929,0.053573302,-0.002787639,0.008082081,0.583189726,5.55E-01
0.054134,-0.003009,0.007876,0.053630252,-0.002751519,0.00810649,0.583189726,5.63E-01
0.054125998,-0.002993,0.007904,0.053586051,-0.002758597,0.008135111,0.580520749,5.70E-01
0.054099001,-0.002929,0.007952,0.053564611,-0.002735128,0.008162025,0.580520749,5.75E-01
0.054108001,-0.002923,0.00796,0.053541983,-0.002739342,0.00816124,0.571256042,5.80E-01
0.054106001,-0.0029,0.007967,0.053478077,-0.002718343,0.008173294,0.571256042,5.85E-01
0.054097001,-0.002888,0.007998,0.053488301,-0.002705061,0.00820121,0.55460453,5.88E-01
0.054035999,-0.002937,0.007982,0.053454769,-0.002731826,0.008227236,0.55460453,5.91E-01
0.053970002,-0.002913,0.008021,0.053387516,-0.0026374,0.00820665,0.534394622,5.95E-01
0.053932,-0.002925,0.008022,0.053384496,-0.002639026,0.008277744,0.534394622,5.98E-01
0.053863999,-0.002909,0.00805,0.053486643,-0.002608927,0.008238777,0.515357494,6.01E-01
0.053835999,-0.002863,0.008082,0.053539131,-0.002565948,0.008288632,0.515357494,6.05E-01
0.053840999,-0.002886,0.008061,0.053437629,-0.002560537,0.008268169,0.497916877,6.09E-01
0.053814001,-0.002876,0.00806,0.053358461,-0.002583825,0.008279143,0.497916877,6.13E-01
0.053821001,-0.002898,0.008053,0.053405513,-0.002558631,0.008297233,0.468243331,6.18E-01
0.053799,-0.00291,0.008073,0.053563745,-0.002586364,0.008261777,0.468243331,6.23E-01
0.053757001,-0.002915,0.008069,0.053509348,-0.002616824,0.008297026,0.416421235,6.29E-01
0.053695001,-0.002872,0.00811,0.053577894,-0.002661461,0.008196418,0.416421235,6.34E-01
0.053635001,-0.002866,0.008118,0.053471851,-0.002653991,0.008249339,0.354019761,6.39E-01
0.053589001,-0.002908,0.008098,0.053536459,-0.002643395,0.008238887,0.354019761,6.44E-01
0.053559002,-0.00291,0.008117,0.053528926,-0.002628436,0.008253459,0.303779781,6.47E-01
0.053539,-0.002924,0.008101,0.05351934,-0.002647477,0.008232528,0.303779781,6.50E-01
0.053511001,-0.002919,0.008117,0.053451671,-0.002611519,0.008300291,0.265345991,6.51E-01
