frame,t,filtered_signal_norm_offline
0.000000000000000000e+00,0.000000000000000000e+00,nan
1.000000000000000000e+00,3.333333333333333287e-02,7.702081556963208397e-01
2.000000000000000000e+00,6.666666666666666574e-02,7.702081556963208397e-01
3.000000000000000000e+00,1.000000000000000056e-01,7.736666424285657540e-01
4.000000000000000000e+00,1.333333333333333315e-01,7.736666424285657540e-01
5.000000000000000000e+00,1.666666666666666574e-01,7.777346237139338703e-01
6.000000000000000000e+00,2.000000000000000111e-01,7.777346237139338703e-01
7.000000000000000000e+00,2.333333333333333370e-01,7.819680303250281517e-01
8.000000000000000000e+00,2.666666666666666630e-01,7.819680303250281517e-01
9.000000000000000000e+00,2.999999999999999889e-01,7.810992020348834775e-01
1.000000000000000000e+01,3.333333333333333148e-01,7.810992020348834775e-01
1.100000000000000000e+01,3.666666666666666408e-01,7.763692009263347682e-01
1.200000000000000000e+01,4.000000000000000222e-01,7.763692009263347682e-01
1.300000000000000000e+01,4.333333333333333481e-01,7.634276406222713085e-01
1.400000000000000000e+01,4.666666666666666741e-01,7.634276406222713085e-01
1.500000000000000000e+01,5.000000000000000000e-01,7.446201275930230956e-01
1.600000000000000000e+01,5.333333333333333259e-01,7.446201275930230956e-01
1.700000000000000000e+01,5.666666666666666519e-01,7.095019788324058441e-01
1.800000000000000000e+01,5.999999999999999778e-01,7.095019788324058441e-01
1.900000000000000000e+01,6.333333333333333037e-01,6.664481163772315586e-01
2.000000000000000000e+01,6.666666666666666297e-01,6.664481163772315586e-01
2.100000000000000000e+01,6.999999999999999556e-01,6.339635208691443147e-01
2.200000000000000000e+01,7.333333333333332815e-01,6.339635208691443147e-01
2.300000000000000000e+01,7.666666666666667185e-01,6.123474953007078669e-01
2.400000000000000000e+01,8.000000000000000444e-01,6.123474953007078669e-01
2.500000000000000000e+01,8.333333333333333703e-01,5.993783075354636170e-01
2.600000000000000000e+01,8.666666666666666963e-01,5.993783075354636170e-01
2.700000000000000000e+01,9.000000000000000222e-01,5.932251982582595895e-01
2.800000000000000000e+01,9.333333333333333481e-01,5.932251982582595895e-01
2.900000000000000000e+01,9.666666666666666741e-01,5.944494905163411058e-01
3.000000000000000000e+01,1.000000000000000000e+00,5.944494905163411058e-01
3.100000000000000000e+01,1.033333333333333437e+00,5.999606721439666446e-01
3.200000000000000000e+01,1.066666666666666652e+00,5.999606721439666446e-01
3.300000000000000000e+01,1.100000000000000089e+00,6.077345232102605577e-01
3.400000000000000000e+01,1.133333333333333304e+00,6.077345232102605577e-01
3.500000000000000000e+01,1.166666666666666741e+00,6.139174447647783861e-01
3.600000000000000000e+01,1.199999999999999956e+00,6.139174447647783861e-01
3.700000000000000000e+01,1.233333333333333393e+00,6.123578655106238777e-01
3.800000000000000000e+01,1.266666666666666607e+00,6.123578655106238777e-01
3.900000000000000000e+01,1.300000000000000044e+00,5.957065900920524015e-01
4.000000000000000000e+01,1.333333333333333259e+00,5.957065900920524015e-01
4.100000000000000000e+01,1.366666666666666696e+00,5.383959426853708319e-01
4.200000000000000000e+01,1.399999999999999911e+00,5.383959426853708319e-01
4.300000000000000000e+01,1.433333333333333348e+00,4.598645852503307485e-01
4.400000000000000000e+01,1.466666666666666563e+00,4.598645852503307485e-01
